任务	脚本	开启
丢弃物品	\data\脚本\系统脚本\丢弃物品.lua	1
测试物品	\data\脚本\系统脚本\测试物品.lua	1
禁用物品	\data\脚本\系统脚本\禁用物品.lua	1
角色复活	\data\脚本\系统脚本\角色复活.lua	1
设复活点	\data\脚本\系统脚本\设复活点.lua	1
进入副本	\data\脚本\系统脚本\进入副本.lua	1
离开副本	\data\脚本\系统脚本\离开副本.lua	1
地图传送	\data\脚本\系统脚本\地图传送.lua	1
装备合成	\data\脚本\合成脚本\装备合成.lua	1
魔魂合成	\data\脚本\合成脚本\魔魂合成.lua	1
装备附魔	\data\脚本\合成脚本\装备附魔.lua	1
解除附魔	\data\脚本\合成脚本\解除附魔.lua	1
装备分解	\data\脚本\合成脚本\装备分解.lua	1
副武合成	\data\脚本\合成脚本\副武合成.lua	1
装备升级	\data\脚本\合成脚本\装备升级.lua	1
幸运合成	\data\脚本\合成脚本\幸运合成.lua	1
小恶魔召唤	\data\脚本\怪物召唤\小恶魔召唤.lua	1
狮鹫怪下蛋	\data\脚本\怪物召唤\狮鹫怪下蛋.lua	1
