副本名称	副本类型	副本难度	副本地图	地图坐标	任务名称	任务标志	所需等级	所需人数
波斯王子第一关	个人副本	简单	波斯王子01	6950,1399			10	1
波斯王子第二关	个人副本	简单	波斯王子02		波斯王子	0	11	1
波斯王子第三关	个人副本	简单	波斯王子03		波斯王子	1	12	1
波斯王子第四关	个人副本	简单	波斯王子04		波斯王子	2	13	1
波斯王子第五关	个人副本	简单	波斯王子05		波斯王子	3	14	1
组队副本1	组队副本	困难	组队副本1		解锁任务	0	10	2
组队副本2	组队副本	困难	组队副本2		解锁任务	1	11	2
组队副本3	组队副本	困难	组队副本3		解锁任务	2	12	2
组队副本4	组队副本	困难	组队副本4		解锁任务	3	13	2
组队副本5	组队副本	困难	组队副本5		解锁任务	4	14	2
个人竞技1	个人竞技	简单	个人竞技1		解锁任务	5	10	1
个人竞技2	个人竞技	简单	个人竞技2		解锁任务	6	11	1
个人竞技3	个人竞技	简单	个人竞技3		解锁任务	7	12	1
个人竞技4	个人竞技	简单	个人竞技4		解锁任务	8	13	1
个人竞技5	个人竞技	简单	个人竞技5		解锁任务	9	14	1
组队竞技1	组队竞技	困难	组队竞技1		解锁任务	10	10	2
组队竞技2	组队竞技	困难	组队竞技2		解锁任务	11	11	2
组队竞技3	组队竞技	困难	组队竞技3		解锁任务	12	12	2
组队竞技4	组队竞技	困难	组队竞技4		解锁任务	13	13	2
组队竞技4	组队竞技	困难	组队竞技4		解锁任务	14	14	2
