名称	类型	银子	金子
短剑01	0	100	0
短剑02	0	200	0
短剑03	0	300	0
短剑04	0	400	0
短剑05	0	500	0
短剑06	0	600	0
短剑07	0	700	0
短剑08	0	800	0
短剑09	0	900	0
短剑10	0	1000	0
盔甲01	1	100	0
盔甲02	1	200	0
盔甲03	1	300	0
盔甲04	1	400	0
盔甲05	1	500	0
盔甲06	1	600	0
盔甲07	1	700	0
盔甲08	1	800	0
盔甲09	1	900	0
盔甲10	1	1000	0
盾牌01	1	100	0
盾牌02	1	200	0
盾牌03	1	300	0
盾牌04	1	400	0
盾牌05	1	500	0
盾牌06	1	600	0
盾牌07	1	700	0
盾牌08	1	800	0
盾牌09	1	900	0
盾牌10	1	1000	0
头饰01	2	100	0
头饰02	2	200	0
头饰03	2	300	0
头饰04	2	400	0
头饰05	2	500	0
头饰06	2	600	0
头饰07	2	700	0
头饰08	2	800	0
头饰09	2	900	0
头饰10	2	1000	0
戒指01	2	100	0
戒指02	2	200	0
戒指03	2	300	0
戒指04	2	400	0
戒指05	2	500	0
戒指06	2	600	0
戒指07	2	700	0
戒指08	2	800	0
戒指09	2	900	0
戒指10	2	1000	0
飞刀	3	100	0
飞斧	3	200	0
圣水	3	300	0
圣盐	3	400	0
圣经	3	500	0
怀表	3	800	0
十字架	3	1000	0
苹果	4	20	0
香蕉	4	25	0
橙子	4	30	0
草莓	4	35	0
葡萄	4	40	0
菠萝	4	45	0
香菇	4	50	0
红色染料	5	100	0
绿色染料	5	100	0
蓝色染料	5	100	0
黄色染料	5	100	0
紫色染料	5	100	0
黑色染料	5	100	0
灰色染料	5	100	0
红色残影	5	100	0
绿色残影	5	100	0
蓝色残影	5	100	0
黄色残影	5	100	0
紫色残影	5	100	0
黑色残影	5	100	0
白色残影	5	100	0
红心50	5	50	0
红心100	5	100	0
法力50	5	50	0
法力100	5	100	0
生命50	5	50	0
生命100	5	100	0
魂之火	7	500	0
青光之匙	7	500	0
藏书库传送	7	1000	0
