名称	显示名称	区域	类型	地图	导航地图	导航位置	导航尺寸	导航编号	音乐	阴影	脚本
波斯王子01	波斯王子	波斯王子	个人副本	\data\地图\波斯王子\波斯王子01.map	\image\地图\导航\波斯王子.bmp	32,32	112,22	0	1	2	
波斯王子02	波斯王子	波斯王子	个人副本	\data\地图\波斯王子\波斯王子02.map	\image\地图\导航\波斯王子.bmp	32,32	112,22	0	1	2	
失落的村庄01	失落的村庄	失落的村庄	普通地图	\data\地图\失落的村庄\村庄01.map	\image\地图\导航\失落的村庄.bmp	25,201	14,6	0	1	0	
失落的村庄02	失落的村庄	失落的村庄	普通地图	\data\地图\失落的村庄\村庄02.map	\image\地图\导航\失落的村庄.bmp	41,193	14,14	1	1	0	
失落的村庄03	失落的村庄	失落的村庄	普通地图	\data\地图\失落的村庄\村庄03.map	\image\地图\导航\失落的村庄.bmp	57,177	22,30	2	1	0	\data\脚本\进入地图\失落的村庄\村庄03.lua
失落的村庄04	失落的村庄	失落的村庄	普通地图	\data\地图\失落的村庄\村庄04.map	\image\地图\导航\失落的村庄.bmp	89,177	14,30	3	1	0	
失落的村庄05	失落的村庄	失落的村庄	普通地图	\data\地图\失落的村庄\村庄05.map	\image\地图\导航\失落的村庄.bmp	137,201	6,14	4	1	0	
失落的村庄06	失落的村庄	失落的村庄	普通地图	\data\地图\失落的村庄\村庄06.map	\image\地图\导航\失落的村庄.bmp	145,201	30,6	5	1	0	
失落的村庄07	失落的村庄	失落的村庄	普通地图	\data\地图\失落的村庄\村庄07.map	\image\地图\导航\失落的村庄.bmp	177,193	14,14	6	1	0	\data\脚本\进入地图\失落的村庄\村庄07.lua
失落的村庄08	失落的村庄	失落的村庄	普通地图	\data\地图\失落的村庄\村庄08.map	\image\地图\导航\失落的村庄.bmp	121,201	16,6	7	1	0	
失落的村庄09	失落的村庄	失落的村庄	普通地图	\data\地图\失落的村庄\村庄09.map	\image\地图\导航\失落的村庄.bmp	0,0	6,6	8	1	0	
失落的村庄复活	失落的村庄	失落的村庄	普通地图	\data\地图\失落的村庄\村庄复活.map	\image\地图\导航\失落的村庄.bmp	145,209	6,6	9	1	1	
