id	head	name	text	sound
1.1	\image\头像\abram.jpg	Abram	Hello stranger, where are you going to?	\sound\对话\Friendly\WellHello.wav
1.2	\image\头像\$hero.bmp	$hero	Hello, I'm looking for an ancient castle in the vicinity.	
1.3	\image\头像\abram.jpg	Abram	What you said must be the demon castle! Recently appeared many demons in there, People of the village most have moved out because of the fear of the demon.	
1.4	\image\头像\$hero.bmp	$hero	Do you know the way to get there?	
1.5	\image\头像\abram.jpg	Abram	Are you sure you want to go there? People who went there never came back.	
1.6	\image\头像\$hero.bmp	$hero	Not mind, Church send me to check out what happened there.	
1.7	\image\头像\abram.jpg	Abram	Very well, brave stranger, go along this road, through a forest, than you can arrive.	
1.8	\image\头像\$hero.bmp	$hero	Thank you.	
1.9	\image\头像\abram.jpg	Abram	Good luck to you.	\sound\对话\Friendly\GoodLuckToYou.wav
2.1	\image\头像\aeon.jpg	Aeon	Hello there, what are you looking for stranger?	\sound\对话\oldman\hellothere.wav
2.2	\image\头像\$hero.bmp	$hero	Hello, I'm looking for demon castle, do you known any thing about it?	
2.3	\image\头像\aeon.jpg	Aeon	Oh, the castle had been abandoned for a long time, recently many devil appeared, that was terrible, Do you want go there?	
2.4	\image\头像\$hero.bmp	$hero	Yes, I will find out what happened there. 	
2.5	\image\头像\aeon.jpg	Aeon	Thanks Gods, Any thing you need	\sound\对话\oldman\AnyThingYouNeed.wav
3.1	\image\头像\anna.jpg	Anna	Hi there, Mother told me not to go out to play, because there are  monsters in outside, it's very dangerous.	\sound\对话\FemaleGranny\HiThere.wav
3.2	\image\头像\$hero.bmp	$hero	Stay at home is right way, little girl.	
3.3	\image\头像\anna.jpg	Anna	Do you want to go out and play?	
3.4	\image\头像\$hero.bmp	$hero	Yes, I will go to kill the monster outside.	
3.5	\image\头像\anna.jpg	Anna	Take care now.	\sound\对话\FemaleGranny\TakeCareNow.wav
4.1	\image\头像\apple.jpg	Apple	Hello, dayang is my lovely baby, do you know where is he going?	\sound\对话\FemaleGranny\Hello.wav
4.2	\image\头像\$hero.bmp	$hero	I don't know, may be in the demon castle.	
4.3	\image\头像\apple.jpg	Apple	Thank you, good bye.	\sound\对话\FemaleGranny\GoodBye.wav
5.1	\image\头像\librarian.bmp	图书管理员	你好啊，有什么需要我帮助的吗？	\sound\对话\oldman\WhatCanIDoForYou.wav
5.2	\image\头像\$hero.bmp	$hero	你这里有什么好东西吗？	
5.3	\image\头像\librarian.bmp	图书管理员	我有很多收藏呢，只要你付得起价格，都可以卖给你。	
