名称	显示	地图	类型	大小	等级	经验	生命	攻击	防御	最低伤害	角色文件	脚本文件	脚本时间	复活时间	死亡脚本	掉落1	概率1	掉落2	概率2	掉落3	概率3	掉落4	概率4	魔魂掉落	魔魂概率	魔魂KEY	魔魂BIT
图书管理员	图书管理员	藏书库	0	64,64	1	2	5	2	0	1	\Data\人物\图书管理员.chr	\Data\人物\图书管理员.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	动物	0
黑猫	黑猫	失落城镇	1	50,30	3	6	15	6	1	1	\Data\怪物\动物\黑猫.chr	\Data\怪物\动物\黑猫.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	动物	0
蝙蝠	蝙蝠	入口	2	20,30	1	2	5	2	0	1	\Data\怪物\动物\蝙蝠.chr	\Data\怪物\动物\蝙蝠.lua	500	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	动物	1
礼拜堂蝙蝠	蝙蝠	礼拜堂	2	20,30	9	18	45	18	2	2	\Data\怪物\动物\礼拜堂蝙蝠.chr	\Data\怪物\动物\礼拜堂蝙蝠.lua	500	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	动物	1
座狼	座狼	入口	1	150,100	2	4	10	4	0	1	\Data\怪物\动物\座狼.chr	\Data\怪物\动物\座狼.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	动物	2
猫头鹰	猫头鹰	大理石走廊	1	32,32	9	18	45	18	2	2	\Data\怪物\动物\猫头鹰.chr	\Data\怪物\动物\猫头鹰.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	动物	3
黑乌鸦	黑乌鸦	礼拜堂	1	32,32	9	18	45	18	2	2	\Data\怪物\动物\黑乌鸦.chr	\Data\怪物\动物\黑乌鸦.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	动物	4
蓝乌鸦	蓝乌鸦	礼拜堂	1	32,32	9	18	45	18	2	2	\Data\怪物\动物\蓝乌鸦.chr	\Data\怪物\动物\蓝乌鸦.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	动物	5
狮鹫怪雏鸟	狮鹫雏鸟	礼拜堂	1	32,32	9	18	45	18	2	2	\Data\怪物\动物\狮鹫怪雏鸟.chr	\Data\怪物\动物\狮鹫怪雏鸟.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	动物	6
飞飞鱼	飞飞鱼	地下花园	1	24,48	13	26	65	26	3	3	\Data\怪物\动物\飞飞鱼.chr	\Data\怪物\动物\飞飞鱼.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	动物	7
绿青蛙	绿青蛙	地下水脉	1	24,24	13	26	65	26	3	3	\Data\怪物\动物\绿青蛙.chr	\Data\怪物\动物\绿青蛙.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	动物	8
癞蛤蟆	癞蛤蟆	地下水脉	1	32,32	13	26	65	26	3	3	\Data\怪物\动物\癞蛤蟆.chr	\Data\怪物\动物\癞蛤蟆.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	动物	9
食人鱼	食人鱼	地下水脉	1	100,50	14	28	70	28	3	3	\Data\怪物\动物\食人鱼.chr	\Data\怪物\动物\食人鱼.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	动物	10
骷髅鱼头	骷髅鱼头	地下水脉	1	60,50	14	28	70	28	3	3	\Data\怪物\动物\骷髅鱼头.chr	\Data\怪物\动物\骷髅鱼头.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	动物	11
绿僵尸	僵尸	入口	2	32,90	1	2	5	2	0	1	\Data\怪物\僵尸\绿僵尸.chr	\Data\怪物\僵尸\绿僵尸.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	僵尸	0
黑僵尸	僵尸	入口	2	32,90	1	2	5	2	0	1	\Data\怪物\僵尸\黑僵尸.chr	\Data\怪物\僵尸\黑僵尸.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	僵尸	1
蓝僵尸	僵尸	入口	2	32,90	3	6	15	6	1	1	\Data\怪物\僵尸\蓝僵尸.chr	\Data\怪物\僵尸\蓝僵尸.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	僵尸	2
僵尸战士	僵尸战士	入口	1	32,90	2	4	10	4	0	1	\Data\怪物\僵尸\僵尸战士.chr	\Data\怪物\僵尸\僵尸战士.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	僵尸	3
奥洛克死士	奥洛克死士	奥洛克之间	1	32,90	12	24	60	24	2	3	\Data\怪物\僵尸\奥洛克死士.chr	\Data\怪物\僵尸\奥洛克死士.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	僵尸	4
僵尸骑兵	僵尸骑兵	奥洛克之间	2	32,90	14	28	70	28	3	3	\Data\怪物\僵尸\僵尸骑兵.chr	\Data\怪物\僵尸\僵尸骑兵.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	僵尸	5
骷髅剑士	骷髅剑士	炼金研究所	1	32,80	3	6	15	6	1	1	\Data\怪物\骷髅\骷髅剑士.chr	\Data\怪物\骷髅\骷髅剑士.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	骷髅	0
骷髅士兵	骷髅士兵	炼金研究所	1	32,80	3	6	15	6	1	1	\Data\怪物\骷髅\骷髅士兵.chr	\Data\怪物\骷髅\骷髅士兵.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	骷髅	1
不死骷髅	不死骷髅	炼金研究所	3	32,80	3	6	15	6	1	1	\Data\怪物\骷髅\不死骷髅.chr	\Data\怪物\骷髅\不死骷髅.lua	200	60000		银币	0.2	苹果	0.1	小红心	0.2	大红心	0.1	普通魔魂	0.3	骷髅	2
