名称	升级	显示	描述	分类	图片	位置	大小	偏移	帧数	帧速率	下落速度	摆动速度	反弹	类型	装备	等级	拾取	消耗	价值	生命	法力	红心	攻击	防御	力量	体质	耐力	智力	幸运	间隔时间	特效	音效	脚本
神奇魔方		神奇魔方	获得破坏物品能够出现道具的能力	魔导器	\image\图标\物件.bmp	0,0	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魔导器.wav	\data\脚本\使用物品\神奇魔方.lua
魂之水晶		魂之水晶	获得看到给予敌人的伤害的能力	魔导器	\image\图标\物件.bmp	32,0	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魔导器.wav	\data\脚本\使用物品\魂之水晶.lua
妖精之书		妖精之书	获得看到敌人的名字和血量的能力	魔导器	\image\图标\物件.bmp	64,0	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魔导器.wav	\data\脚本\使用物品\妖精之书.lua
飞翔石		飞翔石	获得二段跳的能力	魔导器	\image\图标\物件.bmp	96,0	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魔导器.wav	\data\脚本\使用物品\飞翔石.lua
飞天石		飞天石	获得三段跳的能力	魔导器	\image\图标\物件.bmp	192,192	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魔导器.wav	\data\脚本\使用物品\飞天石.lua
浮身靴		浮身靴	获得五倍跳跃高度的能力	魔导器	\image\图标\物件.bmp	128,0	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魔导器.wav	\data\脚本\使用物品\浮身靴.lua
滑铲靴		滑铲靴	获得滑铲的能力	魔导器	\image\图标\物件.bmp	128,192	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魔导器.wav	\data\脚本\使用物品\滑铲靴.lua
疾风靴		疾风靴	获得增加50%移动速度的能力	魔导器	\image\图标\物件.bmp	160,192	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魔导器.wav	\data\脚本\使用物品\疾风靴.lua
魂之火		魂之火	使用后可以回到最后一次复活的房间	魔导器	\image\图标\物件.bmp	128,160	32,32	0,2	6	10	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魔导器.wav	\data\脚本\使用物品\魂之火.lua
青光之匙		青光之匙	打开青光之门所需的钥匙	魔导器	\image\图标\物件.bmp	224,192	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魔导器.wav	\data\脚本\使用物品\青光之匙.lua
藏书库传送		爷恋	想藏书库老爷爷时可以使用它试试	魔导器	\image\图标\物件.bmp	256,0	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魔导器.wav	\data\脚本\使用物品\藏书库传送.lua
活力宝石		活力宝石	获得在受伤僵直中跳跃恢复的能力	魔导器	\image\图标\物件.bmp	256,192	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魔导器.wav	\data\脚本\使用物品\活力宝石.lua
人鱼之像		人鱼之像	获得召唤召唤摆渡人的能力	魔导器	\image\图标\物件.bmp	192,0	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魔导器.wav	\data\脚本\使用物品\人鱼之像.lua
圣洁之像		圣洁之像	获得在水下呼吸的能力	魔导器	\image\图标\物件.bmp	224,0	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魔导器.wav	\data\脚本\使用物品\圣洁之像.lua
剑魔之素		剑魔之素	召唤使魔-剑魔	魔导器	\image\图标\物件.bmp	256,0	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魔导器.wav	\data\脚本\使用物品\剑魔之素.lua
妖精之素		妖精之素	召唤使魔-妖精	魔导器	\image\图标\物件.bmp	256,0	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魔导器.wav	\data\脚本\使用物品\妖精之素.lua
狼之魂		狼之魂	获得变身为狼的能力	魔导器	\image\图标\物件.bmp	0,32	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魂器.wav	\data\脚本\使用物品\狼之魂.lua
狼之力量		狼之力量	变身狼后可以使用必杀技	魔导器	\image\图标\物件.bmp	32,32	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魂器.wav	\data\脚本\使用物品\狼之力量.lua
狼之速度		狼之速度	变成狼时可以快速移动	魔导器	\image\图标\物件.bmp	64,32	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魂器.wav	\data\脚本\使用物品\狼之速度.lua
