name	effect
伤害	\data\特效\文字\伤害.eff
暴击	\data\特效\文字\暴击.eff
玩家伤害	\data\特效\文字\玩家伤害.eff
玩家暴击	\data\特效\文字\玩家暴击.eff
生命	\data\特效\文字\生命.eff
法力	\data\特效\文字\法力.eff
红心	\data\特效\文字\红心.eff
经验	\data\特效\文字\经验.eff
闪光01	\data\特效\战斗\闪光01.eff
闪光02	\data\特效\战斗\闪光02.eff
冒血01	\data\特效\战斗\冒血01.eff
冒血02	\data\特效\战斗\冒血02.eff
升级01	\data\特效\战斗\升级01.eff
滑铲01	\data\特效\战斗\滑铲01.eff
落地01	\data\特效\战斗\落地01.eff
后撤01	\data\特效\战斗\后撤01.eff
发光01	\data\特效\战斗\发光01.eff
角色升级	\data\特效\主角\角色升级.eff
大跳光柱	\data\特效\主角\大跳光柱.eff
水下冒泡	\data\特效\主角\水下冒泡.eff
阿鲁卡多剑芒	\data\特效\主角\阿鲁卡多剑芒.eff
阿鲁卡多死亡	\data\特效\主角\阿鲁卡多死亡.eff
里希特死亡	\data\特效\主角\里希特死亡.eff
玛丽亚死亡	\data\特效\主角\玛丽亚死亡.eff
玛丽亚火球	\data\特效\主角\玛丽亚火球.eff
玛丽亚火球斜下	\data\特效\主角\玛丽亚火球斜下.eff
地狱火	\data\特效\主角\地狱火.eff
飞刀	\data\特效\主角\飞刀.eff
飞斧	\data\特效\主角\飞斧.eff
反弹射线	\data\特效\主角\反弹射线.eff
圣水	\data\特效\主角\圣水.eff
圣水爆炸	\data\特效\主角\圣水爆炸.eff
圣盐	\data\特效\主角\圣盐.eff
圣盐落地	\data\特效\主角\圣盐落地.eff
圣经	\data\特效\主角\圣经.eff
怀表	\data\特效\主角\怀表.eff
闪电	\data\特效\主角\闪电.eff
十字架	\data\特效\主角\十字架.eff
十字架粒子	\data\特效\主角\十字架粒子.eff
飞剑	\data\特效\主角\飞剑.eff
生命上限	\data\特效\物品\生命上限.eff
法力上限	\data\特效\物品\法力上限.eff
红心上限	\data\特效\物品\红心上限.eff
魔导器	\data\特效\物品\魔导器.eff
打开宝箱	\data\特效\物品\打开宝箱.eff
蓝色染料	\data\特效\物品\蓝色染料.eff
绿色染料	\data\特效\物品\绿色染料.eff
红色染料	\data\特效\物品\红色染料.eff
黑色染料	\data\特效\物品\黑色染料.eff
黄色染料	\data\特效\物品\黄色染料.eff
紫色染料	\data\特效\物品\紫色染料.eff
恢复生命	\data\特效\物品\恢复生命.eff
恢复法力	\data\特效\物品\恢复法力.eff
恢复红心	\data\特效\物品\恢复红心.eff
火焰01	\data\特效\火焰\001.eff
火焰02	\data\特效\火焰\002.eff
火焰03	\data\特效\火焰\003.eff
爆炸01	\data\特效\爆炸\001.eff
爆炸02	\data\特效\爆炸\002.eff
爆炸03	\data\特效\爆炸\003.eff
爆炸04	\data\特效\爆炸\004.eff
爆炸05	\data\特效\爆炸\005.eff
爆炸06	\data\特效\爆炸\006.eff
爆炸07	\data\特效\爆炸\007.eff
骷髅统领飞镖	\data\特效\怪物\骷髅统领飞镖.eff
骷髅统领炸弹	\data\特效\怪物\骷髅统领炸弹.eff
骷髅炸弹爆炸	\data\特效\怪物\骷髅炸弹爆炸.eff
剪刀男剪刀	\data\特效\怪物\剪刀男剪刀.eff
骷髅猎人死亡	\data\特效\怪物\骷髅猎人死亡.eff
骷髅猎犬死亡	\data\特效\怪物\骷髅猎犬死亡.eff
奥洛克光波	\data\特效\怪物\奥洛克光波.eff
奥洛克骷髅	\data\特效\怪物\奥洛克骷髅.eff
奥洛克蝙蝠	\data\特效\怪物\奥洛克蝙蝠.eff
奥洛克地火	\data\特效\怪物\奥洛克地火.eff
奥洛克鬼火	\data\特效\怪物\奥洛克鬼火.eff
奥洛克死亡	\data\特效\怪物\奥洛克死亡.eff
双刃铠兵投剑	\data\特效\怪物\双刃铠兵投剑.eff
双刃铠兵死亡	\data\特效\怪物\双刃铠兵死亡.eff
战锤铠兵投锤	\data\特效\怪物\战锤铠兵投锤.eff
战锤铠兵死亡	\data\特效\怪物\战锤铠兵死亡.eff
统领之剑	\data\特效\怪物\统领之剑.eff
恶魔之剑	\data\特效\怪物\恶魔之剑.eff
剑魔武器	\data\特效\怪物\剑魔武器.eff
剑魔死亡	\data\特效\怪物\剑魔死亡.eff
僵尸骑兵死亡	\data\特效\怪物\僵尸骑兵死亡.eff
披风剑客轮廓	\data\特效\怪物\披风剑客轮廓.eff
披风剑客飞剑	\data\特效\怪物\披风剑客飞剑.eff
披风剑客死亡	\data\特效\怪物\披风剑客死亡.eff
人鱼火球1	\data\特效\怪物\人鱼火球1.eff
人鱼火球2	\data\特效\怪物\人鱼火球2.eff
人鱼爆炸	\data\特效\怪物\人鱼爆炸.eff
僵尸燃烧	\data\特效\怪物\僵尸燃烧.eff
座狼燃烧	\data\特效\怪物\座狼燃烧.eff
死士喷血	\data\特效\怪物\死士喷血.eff
死士爆炸	\data\特效\怪物\死士爆炸.eff
蓝僵尸死亡	\data\特效\怪物\蓝僵尸死亡.eff
蓝骷髅兵死亡	\data\特效\怪物\蓝骷髅兵死亡.eff
扔斧绿怪死亡	\data\特效\怪物\扔斧绿怪死亡.eff
扔骨骷髅死亡	\data\特效\怪物\扔骨骷髅死亡.eff
酸水骷髅死亡	\data\特效\怪物\酸水骷髅死亡.eff
骷髅剑士死亡	\data\特效\怪物\骷髅剑士死亡.eff
骷髅弓手死亡	\data\特效\怪物\骷髅弓手死亡.eff
骷髅枪手死亡	\data\特效\怪物\骷髅枪手死亡.eff
骷髅骑士死亡	\data\特效\怪物\骷髅骑士死亡.eff
骷髅头骨爆炸	\data\特效\怪物\骷髅头骨爆炸.eff
怨灵冒泡	\data\特效\怪物\怨灵冒泡.eff
怨灵冒泡绿	\data\特效\怪物\怨灵冒泡绿.eff
怨灵死亡	\data\特效\怪物\怨灵死亡.eff
妖草死亡	\data\特效\怪物\妖草死亡.eff
骷髅飞镖	\data\特效\怪物\骷髅飞镖.eff
飞镖骷髅死亡	\data\特效\怪物\飞镖骷髅死亡.eff
天使猎人死亡	\data\特效\怪物\天使猎人死亡.eff
木偶死亡	\data\特效\怪物\木偶死亡.eff
蝎狮死亡	\data\特效\怪物\蝎狮死亡.eff
鸭嘴怪火球	\data\特效\怪物\鸭嘴怪火球.eff
鸭嘴怪死亡	\data\特效\怪物\鸭嘴怪死亡.eff
飞飞魔死亡	\data\特效\怪物\飞飞魔死亡.eff
飞飞魔火球1	\data\特效\怪物\飞飞魔火球1.eff
飞飞魔火球2	\data\特效\怪物\飞飞魔火球2.eff
长臂魔火球1	\data\特效\怪物\长臂魔火球1.eff
长臂魔火球2	\data\特效\怪物\长臂魔火球2.eff
长臂魔刀光	\data\特效\怪物\长臂魔刀光.eff
长臂魔死亡	\data\特效\怪物\长臂魔死亡.eff
跳蚤男死亡	\data\特效\怪物\跳蚤男死亡.eff
跳蚤甲兵死亡	\data\特效\怪物\跳蚤甲兵死亡.eff
跳蚤飞鹰死亡	\data\特效\怪物\跳蚤飞鹰死亡.eff
鬼桌子物品	\data\特效\怪物\鬼桌子物品.eff
鬼桌子死亡	\data\特效\怪物\鬼桌子死亡.eff
旋镖骷髅死亡	\data\特效\怪物\旋镖骷髅死亡.eff
装甲骑士死亡	\data\特效\怪物\装甲骑士死亡.eff
锤头骑士死亡	\data\特效\怪物\锤头骑士死亡.eff
树妖攻击	\data\特效\怪物\树妖攻击.eff
树妖死亡	\data\特效\怪物\树妖死亡.eff
花妖死亡	\data\特效\怪物\花妖死亡.eff
鸟人死亡	\data\特效\怪物\鸟人死亡.eff
泥人死亡	\data\特效\怪物\泥人死亡.eff
猫头鹰死亡	\data\特效\怪物\猫头鹰死亡.eff
猫头鹰骑士死亡	\data\特效\怪物\猫头鹰骑士死亡.eff
重剑骑士剑气	\data\特效\怪物\重剑骑士剑气.eff
重剑骑士死亡	\data\特效\怪物\重剑骑士死亡.eff
楼梯守卫死亡	\data\特效\怪物\楼梯守卫死亡.eff
小恶魔死亡	\data\特效\怪物\小恶魔死亡.eff
小恶魔聚气	\data\特效\怪物\小恶魔聚气.eff
小恶魔召唤	\data\特效\怪物\小恶魔召唤.eff
狮鹫怪聚气	\data\特效\怪物\狮鹫怪聚气.eff
狮鹫怪吐火	\data\特效\怪物\狮鹫怪吐火.eff
狮鹫怪掉毛	\data\特效\怪物\狮鹫怪掉毛.eff
狮鹫怪死亡	\data\特效\怪物\狮鹫怪死亡.eff
飞行骷髅死亡	\data\特效\怪物\飞行骷髅死亡.eff
长枪骷髅死亡	\data\特效\怪物\长枪骷髅死亡.eff
黑乌鸦死亡	\data\特效\怪物\黑乌鸦死亡.eff
流星骷髅死亡	\data\特效\怪物\流星骷髅死亡.eff
双刀骷髅死亡	\data\特效\怪物\双刀骷髅死亡.eff
