Name	File
阿鲁卡多	\data\角色\阿鲁卡多.chr
阿鲁卡多武器	\data\角色\阿鲁卡多武器.chr
阿鲁卡多盾牌	\data\角色\阿鲁卡多盾牌.chr
里希特	\data\角色\里希特.chr
里希特武器	\data\角色\里希特武器.chr
玛丽亚	\data\角色\玛丽亚.chr
玛丽亚武器	\data\角色\玛丽亚武器.chr
剑魔	\data\怪物\魔物\剑魔.chr
双刃铠兵	\data\怪物\守卫\双刃铠兵.chr
战锤铠兵	\data\怪物\守卫\战锤铠兵.chr
奥洛克	\data\怪物\BOSS\奥洛克.chr
奥洛克房间物件	\data\怪物\BOSS\奥洛克房间物件.chr
骷髅猎人	\data\怪物\骷髅\骷髅猎人.chr
骷髅猎犬	\data\怪物\骷髅\骷髅猎犬.chr
人面树妖	\data\怪物\植物\人面树妖.chr
剪刀男	\data\怪物\怪人\剪刀男.chr
骷髅统领	\data\怪物\BOSS\骷髅统领.chr
骷髅鱼头	\data\怪物\动物\骷髅鱼头.chr
魅魔	\data\怪物\BOSS\魅魔.chr
海妖	\data\怪物\BOSS\海妖.chr
